Chapter,ChapterTitle,SubChapter,SubChapterTitle,Section,SectionTitle,Subsection,Point,Subpoint,Text,law_name,global_index
0,,0,,0,,0,0,0,"ï¿½bersetzung durch den Sprachendienst des Bundesministeriums des Innern. Translation provided by the Language Service of the Federal Ministry of the Interior. Stand: Die ï¿½bersetzung berï¿½cksichtigt die ï¿½nderung(en) des Gesetzes durch Artikel 2 des Gesetzes vom 11. Mï¿½rz 2016 (BGBl. I S. 394) Zur Nutzung dieser ï¿½bersetzung lesen Sie bitte den Hinweis unter ""Translations"". For conditions governing use of this translation, please see the information provided under ""Translations"". Asylum Act Full citation:  Asylum Act in the version promulgated on 2 September 2008 (Federal Law Gazette I, p. 1798), last amended by Article 2 of the Act of 11 March 2016 (Federal Law Gazette I, p. 394) This statute shall serve to transpose into national law the following directives:",Asylum,0
0,,0,,0,,0,1.0,0,"Council Directive 2003/9/EC of 27 January 2003 laying down minimum standards for the reception of asylum seekers in Member States (OJ EU J L 31, p. 18)",Asylum,1
0,,0,,0,,0,2.0,0,"Council Directive 2004/83/EC of 29 April 2004 on minimum standards for the qualification and status of third-country nationals or stateless persons as refugees or as persons who otherwise need international protection and the content of the protection granted (OJ EU L 304, p. 12)",Asylum,2
0,,0,,0,,0,3.0,0,"Council Directive 2005/85/EC of 1 December 2005 on minimum standards on procedures in Member States for granting and withdrawing refugee status (OJ EU L 326, p. 13)",Asylum,3
1.0,Scope of application,0,,1,Scope of application,(1),0,0,This Act shall apply to foreigners applying for:,Asylum,4
1.0,Scope of application,0,,1,Scope of application,(1),1.0,0,"protection against political persecution under Article 16a (1) of the Basic Law, or",Asylum,5
1.0,Scope of application,0,,1,Scope of application,(1),2.0,0,"international protection under Directive 2011/95/EU of the European Parliament and of the Council of 13 December 2011 on standards for the qualification of third-country nationals or stateless persons as beneficiaries of international protection, for a uniform status for refugees or for persons eligible for subsidiary protection, and for the content of the protection granted (OJ EU L 337 of 20 December 2011, p. 9); international protection within the meaning of Directive 2011/95/EU comprises the protection against persecution under the Convention of 28 July 1951 on the legal status of refugees (Federal Law Gazette II pp. 559, 560) and subsidiary protection within the meaning of the Directive; international protection granted under Council Directive 2004/83/EC of 29 April 2004 on minimum standards for the qualification and status of third-country nationals or stateless persons as refugees or as persons who otherwise need international protection and the content of the protection granted (OJ EU L 304, p. 12) is equivalent to international protection as defined in Directive 2011/95/EU; Section 104 (9) of the Residence Act shall remain unaffected.",Asylum,6
1.0,Scope of application,0,,1,Scope of application,(2),0,0,"This Act shall not apply to displaced foreigners as defined in the Act on the Legal Status of Displaced Foreigners in the Federal Territory in the applicable revised version published in the Federal Law Gazette Part Ill, no. 243-1.",Asylum,7
2.0,Granting protection,1.0,Asylum,2,Legal status of persons granted asylum status,(1),0,0,"In the federal territory, persons granted asylum status shall enjoy the legal status pursuant to the Convention relating to the status of refugees.",Asylum,8
2.0,Granting protection,1.0,Asylum,2,Legal status of persons granted asylum status,(2),0,0,Provisions granting a more favourable legal status to persons granted asylum status shall remain unaffected.,Asylum,9
2.0,Granting protection,1.0,Asylum,2,Legal status of persons granted asylum status,(3),0,0,Foreigners who were granted asylum status in the territory defined in Article 3 of the Unification Treaty before the accession of this territory to the Federal Republic of Germany became effective shall be regarded as persons granted asylum status.,Asylum,10
2.0,Granting protection,2.0,International protection,3,Recognition of refugee status,(1),0,0,"A foreigner is a refugee as defined in the Convention of 28 July 1951 on the legal status of refugees (Federal Law Gazette II, pp. 559, 560) if he,",Asylum,11
2.0,Granting protection,2.0,International protection,3,Recognition of refugee status,(1),1.0,0,"owing to well-founded fear of persecution in his country of origin on account of his race, religion, nationality, political opinion or membership of a particular social group,",Asylum,12
2.0,Granting protection,2.0,International protection,3,Recognition of refugee status,(1),2.0,0,resides outside the country (country of origin),Asylum,13
2.0,Granting protection,2.0,International protection,3,Recognition of refugee status,(1),2.0,a),"whose nationality he possesses and the protection of which he cannot, or, owing to such fear does not want to avail himself of, or",Asylum,14
2.0,Granting protection,2.0,International protection,3,Recognition of refugee status,(1),2.0,b),"where he used to have his habitual residence as a stateless person and where he cannot, or, owing to said fear, does not want to return.",Asylum,15
2.0,Granting protection,2.0,International protection,3,Recognition of refugee status,(2),0,0,A foreigner shall not qualify as a refugee under subsection 1 where there are serious reasons to believe that he,Asylum,16
2.0,Granting protection,2.0,International protection,3,Recognition of refugee status,(2),1.0,0,"has committed a crime against peace, a war crime or a crime against humanity within the meaning of the international instruments drawn up for the purpose of establishing provisions regarding such crimes,",Asylum,17
2.0,Granting protection,2.0,International protection,3,Recognition of refugee status,(2),2.0,0,"committed a serious non-political crime outside the federal territory before being admitted as a refugee, in particular a brutal act, even if it was supposedly intended to pursue political aims, or",Asylum,18
2.0,Granting protection,2.0,International protection,3,Recognition of refugee status,(2),3.0,0,acted in violation of the aims and principles of the United Nations. Sentence 1 shall apply also to foreigners who have incited others to commit the crimes or acts listed there or otherwise been involved in such crimes or acts.,Asylum,19
2.0,Granting protection,2.0,International protection,3,Recognition of refugee status,(3),0,0,"Nor shall a foreigner be a refugee under subsection 1 if he enjoys the protection or assistance of an organization or institution of the United Nations, with the exception of the United Nations High Commissioner for Refugees under Article 1, Section D of the Convention relating to the status of refugees. Subsections (1) and (2) shall apply if such protection or assistance is no longer provided, without having finally clarified the situation of those affected in accordance with the relevant resolutions of the General Assembly of the United Nations.",Asylum,20
